http_method,route,entry_file,service_repository_chain,tables_written,financial_impact,employee_ledger_impact,inventory_impact,booking_availability_impact,current_branch_source,future_branch_source,required_future_authorization,transaction_boundaries,risks_if_branch_omitted_or_user_controlled,trusts_frontend_ownership_values,evidence_label,priority
POST,/api/sales,src/app/api/sales/route.ts,inline TX → allocateInvID → InsCashMoveSales trigger → splitPaymentService → sp_Loyalty_EarnPointsFromSale → target recalc enqueue → WhatsApp,"TblinvServHead,TblinvServDetail,TblinvServPayment,TblCashMove,loyalty tables via SP,TblEmpTargetRecalcRequest",Yes,Indirect via targets/tips paths,Loyalty store no; points yes,No (sale),Open TblNewDay + user TblShiftMove,Secure session branch,Session branch + day/shift membership,SQL TX + applock invID,Mixes treasury/targets/loyalty attribution; client branchId spoof,Yes — EmpIDs amounts methods clientId,Confirmed from code,P0
PUT,/api/sales/[id],src/app/api/sales/[id]/route.ts,executeAuditedAction → updateInvoice → loyalty → target process,Same as sales rewrite,Yes,Yes possible,Points reverse/earn,No,None,Parent invoice branch + session check,Sensitive action + branch match,SERIALIZABLE audited,Silent cross-branch edit,Yes,Confirmed from code,P0
DELETE,/api/sales/[id],src/app/api/sales/[id]/route.ts,executeAuditedAction → deleteInvoice,Head detail payment cash loyalty,Yes reverse,Target recalc,Points reverse,No,None,Parent invoice branch,Sensitive + branch match,SERIALIZABLE audited,Delete other branch revenue,No id only but id global,Confirmed from code,P0
POST,/api/bookings/[id]/convert,src/app/api/bookings/[id]/convert/route.ts,inline TX create sale from booking,"TblinvServHead,TblinvServDetail,Bookings",Yes via trigger,Targets later,No,Releases booking state,Open day/shift,Booking branch must equal session branch,Session branch match booking,TX,Convert booking into wrong branch sale,Partial,Confirmed from code,P0
POST,/api/pos/tips,src/app/api/pos/tips/route.ts,executeEmployeeTip → WhatsApp,"TblCashMove,TblEmpLedgerEntry,maybe TblExpINCat",Yes in,Yes credit,No,No,Open day/shift,Session treasury branch,Cashier branch access,Service TX,Tip cash/ledger wrong site,Yes amount empId,Confirmed from code,P0
POST,/api/expenses,src/app/api/expenses/route.ts,day+shift gate → TX allocateInvID insert,TblCashMove,Yes out,Maybe via maps/triggers,No,No,Open day/shift,Session branch,day/shift + branch,TX + applock,Expense hits wrong treasury,Yes amount category notes,Confirmed from code,P0
POST,/api/expenses/past-date,src/app/api/expenses/past-date/route.ts,role check → historical insert,TblCashMove,Yes,Maybe,No,No,Request date (no open day?),Explicit branch + privileged backdate role,requireRole + branch,TX,Backdate into another branch,Yes,Confirmed from code,P0
PUT,/api/expenses/[id],src/app/api/expenses/[id]/route.ts,audited updateExpense,TblCashMove,Yes,Maybe,No,No,None,Parent cash branch,Audited + branch,SERIALIZABLE,Cross-branch edit,Yes,Confirmed from code,P0
DELETE,/api/expenses/[id],src/app/api/expenses/[id]/route.ts,audited deleteExpense → hard delete + ledger,TblCashMove; TblEmpLedgerEntry,Yes reverse,Yes,No,No,None,Parent cash branch,Audited + branch,SERIALIZABLE,Cross-branch delete,No,Confirmed from code,P0
POST,/api/incomes,src/app/api/incomes/route.ts,insert + syncEmployeeFundingFromCashMove,TblCashMove; maybe ledger,Yes in,Yes funding dual-write,No,No,Open day/shift,Session branch,branch + shift,TX,Wrong treasury/funding,Yes,Confirmed from code,P0
POST,/api/incomes/past-date,src/app/api/incomes/past-date/route.ts,privileged past insert,TblCashMove,Yes,Maybe,No,No,Request date,Explicit branch + role,requireRole + branch,TX,Backdate abuse,Yes,Confirmed from code,P0
PUT,/api/incomes/[id],src/app/api/incomes/[id]/route.ts,audited incomeActions,TblCashMove,Yes,Maybe,No,No,None,Parent branch,Audited + branch,SERIALIZABLE,Cross-branch,Yes,Confirmed from code,P0
DELETE,/api/incomes/[id],src/app/api/incomes/[id]/route.ts,audited delete,TblCashMove; ledger,Yes,Yes,No,No,None,Parent branch,Audited + branch,SERIALIZABLE,Cross-branch,No,Confirmed from code,P0
