schema,table_name,purpose,primary_key,important_fks,main_write_paths,main_read_paths,current_ownership_model,recommended_classification,needs_branch_id,use_branch_mapping_table_instead,inherit_branch_from_parent,historical_migration_risk,cross_branch_leakage_risk,migration_priority,evidence_label,evidence_refs,notes
dbo,TblNewDay,Business day open/close header,ID (app),—,POST /api/day/open|close|close-and-open; treasury reconciliation,Session; sales gating; treasury; day summary,Singleton open Status=1 for whole DB,Branch-scoped,Yes,No,—,High,Critical,P0,Confirmed from code,src/app/api/day/open/route.ts; CLOSE-DAY-DESIGN.md,Future UNIQUE(BranchID NewDay); independent Status per branch
dbo,TblShift,Shift name definitions,ShiftID,—,Admin/shift definitions APIs,Shift open UI,Global catalog,Global,No,No,—,Low,Low,P3,Confirmed from code,src/app/api/shift/definitions/route.ts,Definitions shared; instances branch-scoped
dbo,TblShiftMove,Open/closed cashier shift instance,ID (app uses ID; migration may say ShiftMoveID),NewDay date; UserID; ShiftID,POST /api/shift/open|close; day force-close,Session; sales; treasury joins,Per-user open shift; day-stamped,Branch-scoped,Yes,No,TblNewDay,High,Critical,P0,Confirmed from code,src/app/api/shift/open/route.ts,Force-close currently updates ALL Status=1 shifts
dbo,TblUser,Login identities,UserID,ShiftID default,Users CRUD APIs,Auth login; session; permissions,Global identity,Global,No,Yes — UserBranchAccess,—,Med,High if unscoped lists,P0,Confirmed from code,src/lib/session-types.ts; auth/login,Password plaintext match today
dbo,TblClient,Customer master,ClientID,—,POST/PUT /api/customers; public booking upsert,Search; history; POS; loyalty,Global shared,Global,No,No,—,Med (dup phones),Med (history privacy),P1,Confirmed from code,customers routes; publicBookingHelpers,Shared across branches by design
dbo,TblEmp,Employee master,EmpID,—,Admin employee profile/activate APIs,HR; POS; bookings; payroll,Global identity,Global,No,Yes — EmpBranchAssignment,—,High,High,P0,Confirmed from code,TblEmp usages; payroll,Payroll flags live on emp today
dbo,TblPro,Service/product catalog,ProID,CatID,Services admin APIs,POS; booking; reports,Global catalog; SPrice1 global,Global (price overrides hybrid),No,Optional price/availability map,—,Med,Med,P2,Confirmed from code,services routes; BLUEPRINT.md,No TblPro stock Qty in app
dbo,TblCat,Service categories,CatID,—,categories APIs,Services lists; public filter,Global,Global,No,No,—,Low,Low,P3,Confirmed from code,services/categories/route.ts,
dbo,TblCashMove,Financial cash ledger hub,ID + invID/invType pattern,ShiftMoveID; PaymentMethodID; ExpINID; inv links,Sales trigger; expenses; incomes; deductions; tips; funding; payout; payroll post; transfer; split clearing,Treasury; full-day; partners; monthly,Implicit via day/shift only,Branch-scoped,Yes,No,Sale head or session day for non-sale,Critical,Critical,P0,Confirmed from code,expenses/incomes/sales; allocateInvID,Central multi-branch risk
dbo,TblinvServHead,Sales invoice header,invID+invType (app),ShiftMoveID; ClientID,POST/PUT/DELETE /api/sales; booking convert,Sales reports; recent; full-day,Via open day/shift,Branch-scoped,Yes,No,TblNewDay/TblShiftMove,Critical,Critical,P0,Confirmed from code,src/app/api/sales/route.ts,Aggregate root for sale
dbo,TblinvServDetail,Sale line items,line identity via invID/invType,ProID; EmpID; head,Sales create/update/delete; reassign EmpID,Employee services; targets; history,Inherit head,Branch-scoped inherit,No (inherit),No,TblinvServHead,High,High,P1,Confirmed from code,sales/[id]; employee-services,Do not require own BranchID unless independent queries demand
dbo,TblinvServPayment,Sale payment splits,via invID/invType,Payment method,Sales create/update/delete,Payment mix reports,Inherit head,Branch-scoped inherit,No (inherit),No,TblinvServHead,High,High,P1,Confirmed from code,sales routes; splitPaymentService,
dbo,TblPaymentMethods,Payment method definitions,PaymentID (app),—,Admin payment method APIs,Joins on cash/sales,Global definitions,Global,No,No,—,Low,Low,P3,Confirmed from schema/code,recon migration naming mismatch PaymentMethodID,Balances via CashMove branch
dbo,TblExpINCat,Expense/income categories,ExpINID,—,finance/categories CRUD,Treasury; reports; maps,Global,Global,No,No,—,Low,Med,P3,Confirmed from code,finance/categories,
dbo,TblSettingValues,Key/value settings,ID,—,Split clearing config writers,Config readers,Global singleton values,Hybrid,Maybe for some keys,Per-key decision,—,Med,Med,P2,Confirmed from code,split payment migrations,Value length limits noted in audits
dbo,Bookings,Appointments,BookingID,ClientID; AssignedEmpID; QueueTicketID,public/admin booking create/plan/patch/cancel/reschedule,Calendar; flow-board; availability,Date+emp only,Branch-scoped,Yes,No,—,High,Critical,P0,Confirmed from schema,db/migrations/queue-booking-system.sql,UX_Bookings_BookingCode filtered unique
dbo,BookingServices,Booking service lines,BookingServiceID,BookingID; ProID; EmpID,Booking create/plan/reschedule,Availability; board,Inherit booking,Branch-scoped inherit,No (inherit),No,Bookings,High,High,P1,Confirmed from schema,queue-booking-system.sql,Qty is line qty not stock
dbo,QueueTickets,Walk-in/queue tickets,QueueTicketID,ClientID; EmpID; BookingID,queue create; arrive; patch; cancel,Live queue; flow-board; estimate,QueueDate Cairo business,Branch-scoped,Yes,No,—,High,Critical,P0,Confirmed from schema,UQ_QueueTickets_Code_Date,Ticket sequence UPDLOCK per date global
dbo,QueueTicketServices,Queue service lines,ID,QueueTicketID; ProID,Queue create/estimate paths,Estimate engine,Inherit ticket,Branch-scoped inherit,No (inherit),No,QueueTickets,Med,High,P1,Confirmed from schema,barber-schedule-and-queue-estimate.sql,
dbo,QueueTicketHistory,Queue history,ID,QueueTicketID,Status transitions,Audit/UI history,Inherit,Branch-scoped inherit,No (inherit),No,QueueTickets,Med,Med,P2,Confirmed from schema,queue-booking-system.sql,
dbo,QueueTicketStatusHistory,Lifecycle status history,ID,QueueTicketID,settle-expired; lifecycle engine,Ops diagnostics,Inherit,Branch-scoped inherit,No (inherit),No,QueueTickets,Med,Med,P2,Confirmed from schema,src/lib/migrations/queue-lifecycle-columns.sql,
dbo,QueueBookingSettings,Booking/queue settings singleton,SettingID,—,admin booking-settings PATCH,publicBookingHelpers cache TOP 1,Single row whole salon,Branch-scoped,Yes,No,—,High,Critical,P0,Confirmed from code,publicBookingHelpers.ts __pos_public_settings_cache_v1,Cache key must include BranchID
dbo,TblEmpAttendance,Daily attendance,ID,EmpID,admin/pos attendance POST/PATCH; nightly finalize,Payroll; availability; full-day,UQ EmpID+WorkDate,Branch-scoped,Yes (if multi-site same day) or mapping,Maybe EmpBranchAssignment only,—,High,High,P0,Confirmed from code,UQ_TblEmpAttendance_Emp_Date,Business decision if emp can attend two branches
dbo,TblEmpAttendanceBreak,Attendance breaks,identity,AttendanceID,admin attendance bulk/helpers,Schedule sync,Inherit attendance,Inherit,No (inherit),No,TblEmpAttendance,Med,Med,P2,Confirmed from code,attendance-breaks-db.ts,
dbo,TblEmpAttendanceBreakTime,Break time details,identity,Attendance/Break,attendance helpers,HR UI,Inherit,Inherit,No (inherit),No,TblEmpAttendance,Med,Med,P2,Confirmed from code,attendance-break-time-db.ts,
dbo,TblEmpWorkSchedule,Weekly schedule,ID,EmpID,employee schedule APIs,Availability engines,UQ EmpID+DayOfWeek,Hybrid,Maybe,Yes if schedules differ by branch,—,High,High,P1,Confirmed from schema,UQ_TblEmpWorkSchedule_Emp_Day,Global conflict if shared staff
dbo,TblEmpDayOff,Day-off dates,ID,EmpID,days-off APIs,Availability,UQ EmpID+OffDate,Hybrid,Maybe,Yes,—,Med,High,P1,Confirmed from schema,UQ_TblEmpDayOff_Emp_Date,
dbo,TblEmpScheduleOverrides,One-off schedule overrides,identity,EmpID,booking-control overrides; schedule-control apply,Availability; integrity,Per emp/date ranges,Hybrid/Branch-scoped,Yes recommended,No,—,High,High,P1,Confirmed from code,scheduleOverrides.ts,
dbo,TblEmpServiceSettings,Emp-service duration/eligibility,ID,EmpID; ProID,admin emp service settings,Booking eligibility,UQ EmpID+ProID,Hybrid,Maybe,Maybe,—,Med,Med,P2,Confirmed from schema,UX_TblEmpServiceSettings_EmpID_ProID,
dbo,TblEmpDailyPayroll,Generated daily wages,ID,EmpID; WorkDate,payroll/daily/generate; auto-generate; post-to-cash,payroll UI; full-day; WhatsApp,App NOT EXISTS EmpID+WorkDate,Branch-scoped,Yes,No,—,Critical,Critical,P0,Confirmed from code,payroll/daily routes,No DB UNIQUE in repo — race risk
dbo,TblEmpSalaryHistory,Salary change audit,identity,EmpID,salary-settings PUT,HR audit,Global emp history,Global (or tag branch of change),Optional,No,—,Med,Low,P3,Confirmed from code,payroll employees salary-settings,
dbo,TblEmpPayrollTxn,Optional payroll txn (probed),unknown,—,Rare/optional paths,classification audit probes,Unclear,Requires verification,?,?,—,?,?,P3,Requires verification,runtime probes in accounting audit,May not exist on all DBs
dbo,TblExpCatEmpMap,Map expense cats to employees/txn kinds,ID,EmpID; ExpINID,finance-map; auto-revenue-map; advances,Payroll; partners; deductions,UQ Emp+ExpIN+TxnKind,Global mapping,No,No,—,Med,Med,P2,Confirmed from schema,UQ_TblExpCatEmpMap_Emp_ExpIN_Kind,Cash impact via CashMove branch
dbo,TblEmpLedgerEntry,Employee liability ledger,ID,EmpID; CashMoveID,funding; payout; tips; payroll; target sync; advances dual-write; void,ledger UI; full-day; partners,Global balance per emp,Branch-scoped entries (balance model TBD),Yes,No,CashMove or Target/Payroll parent,Critical,Critical,P0,Confirmed from schema,create-tbl-emp-ledger-entry.sql; filtered UX indexes,Business decision on balance scope
dbo,TblEmpTargetPlan,Target plan header,ID,EmpID,admin target plans CRUD,Target generate,UQ EmpID+EffectiveFrom,Hybrid,Maybe,Yes if plans differ by branch,—,High,High,P1,Confirmed from schema,UX_TblEmpTargetPlan_EmpID_EffectiveFrom,
dbo,TblEmpTargetTier,Target tiers,ID,TargetPlanID,plan CRUD,Generate,UQ plan+sort/start,Inherit plan,No (inherit),No,TblEmpTargetPlan,Med,Med,P2,Confirmed from schema,create-employee-daily-target-system.sql,
dbo,TblEmpDailyTarget,Daily target actuals,ID,EmpID; WorkDate; Plan,targets/generate; recalc process,payroll targets; full-day; ledger sync,UQ EmpID+WorkDate,Branch-scoped,Yes,No,—,Critical,Critical,P0,Confirmed from schema,UQ_TblEmpDailyTarget_Emp_WorkDate,Revenue from invoices must be branch-filtered
dbo,TblEmpTargetRecalcRequest,Async target recalc queue,ID,EmpID; WorkDate,sales side-effect enqueue; process API/CLI,admin process,UQ EmpID+WorkDate,Branch-scoped,Yes,No,—,High,High,P0,Confirmed from schema,UX_TblEmpTargetRecalcRequest_EmpID_WorkDate,
dbo,TblAutoGenLog,Nightly/auto generation log,ID,—,auto-generate; nightly-close,Admin diagnostics,WorkDate indexed,Branch-scoped,Yes,No,—,Med,Med,P1,Confirmed from schema,add-auto-gen-log-table.sql,
dbo,TblTreasuryCloseRecon,Treasury close reconciliation,ID,NewDay; ShiftMoveID; PaymentMethod; User,treasury reconciliation close,Close reports,Per day/methods,Branch-scoped,Yes,No,TblNewDay,High,Critical,P0,Confirmed from schema,create-tbl-treasury-close-recon.sql,FK naming hazards ShiftMoveID/PaymentMethodID
